command,products,topic
bridge multicast ip-address,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
bridge multicast ipv6 forbidden ip-address,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
bridge multicast ipv6 forbidden source group,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
bridge multicast ipv6 ip-address,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
bridge multicast ipv6 mode,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
bridge multicast ipv6 source group,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
bridge multicast mode,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
bridge multicast reserved-address,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
bridge multicast source group,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
bridge multicast unregistered,"['cbs_250', 'cbs_250', 'cbs_350', 'cbs_350', 'cat_1300', 'cat_1300']",Address Table Commands
bridge unicast unknown,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
ca-certificate install,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CA Certificate Commands
ca-certificate revoke,"['cbs_250', 'cbs_350', 'cat_1300']",CA Certificate Commands
cbd address,"['cbs_250', 'cbs_350', 'cat_1300']",CBD Probe Commands
cbd connection enable,"['cbs_250', 'cbs_350', 'cat_1300']",CBD Probe Commands
cbd key,"['cbs_250', 'cbs_350', 'cat_1300']",CBD Probe Commands
cbd network name,['cat_1300'],CBD Probe Commands
cbd organization name,['cat_1300'],CBD Probe Commands
cbd probe enable,"['cbs_250', 'cbs_350', 'cat_1300']",CBD Probe Commands
cbd reset,"['cbs_250', 'cbs_350', 'cat_1300']",CBD Probe Commands
cd,"['cbs_250', 'cbs_350', 'cat_1300']",File System Commands
cdp advertise-v2,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp appliance-tlv enable,"['cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp appliance-vlan enable,['cbs_220'],CDP Commands
cdp device-id format,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp enable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp holdtime,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp log mismatch duplex,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp log mismatch native,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp log mismatch voip,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp mandatory-tlvs validation,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp pdu,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp run,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp source-interface,"['cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
cdp timer,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
channel-group,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Port Channel Commands
class,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
class-map,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
clear access-lists counters,"['cbs_250', 'cbs_350', 'cat_1300']",ACL Commands
clear arp-cache,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
clear cbd probe database,"['cbs_250', 'cbs_350', 'cat_1300']",CBD Probe Commands
clear cdp counter,['cbs_220'],CDP Commands
clear cdp counters,"['cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
clear cdp table,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
clear counters,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
clear dot1x statistics,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
clear etherlike statistics,['cbs_220'],Ethernet Configuration Commands
clear gvrp statistics,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",GVRP Commands
clear host,"['cbs_250', 'cbs_350', 'cat_1300']",DNS Client Commands
clear ip arp inspection statistics,"['cbs_350', 'cat_1300']",DHCP Snooping Commands
clear ip arp inspection statistics vlan,['cbs_220'],IP ARP Inspection Commands
clear ip dhcp binding,"['cbs_350', 'cat_1300']",DHCP Server Commands
clear ip dhcp snooping binding,['cbs_220'],IP DHCP Snooping Commands
clear ip dhcp snooping binding interface,['cbs_220'],IP DHCP Snooping Commands
clear ip dhcp snooping binding vlan,['cbs_220'],IP DHCP Snooping Commands
clear ip dhcp snooping database,"['cbs_350', 'cat_1300']",DHCP Snooping Commands
clear ip dhcp snooping database statistics,['cbs_220'],IP DHCP Snooping Commands
clear ip dhcp snooping interfaces statistics,['cbs_220'],IP DHCP Snooping Commands
clear ip igmp counters,"['cbs_250', 'cbs_350', 'cat_1300']",IGMP Commands
clear ip igmp snooping groups,['cbs_220'],IGMP Snooping Commands
clear ip igmp snooping statistics,['cbs_220'],IGMP Snooping Commands
clear ipv6 dhcp client,"['cbs_250', 'cbs_350', 'cat_1300']",DHCPv6 Commands
clear ipv6 first hop security counters,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
clear ipv6 first hop security error counters,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
clear ipv6 mld counters,"['cbs_250', 'cbs_350', 'cat_1300']",MLD Commands
clear ipv6 mld snooping groups,['cbs_220'],IPv6 MLD Snooping Commands
clear ipv6 mld snooping statistics,['cbs_220'],IPv6 MLD Snooping Commands
clear ipv6 neighbor binding prefix table,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
clear ipv6 neighbor binding table,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
clear ipv6 neighbors,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Commands
clear ipv6 prefix-list,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Prefix List
clear line,['cbs_220'],Line Commands
clear lldp statistics,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",LLDP Commands
clear lldp table,"['cbs_250', 'cbs_350', 'cat_1300']",LLDP Commands
clear logging,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",SYSLOG Commands
clear logging file,"['cbs_250', 'cbs_350', 'cat_1300']",SYSLOG Commands
clear login failures,['cat_1300'],AAA Commands
clear login quiet-mode,['cat_1300'],AAA Commands
clear mac address-table,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
clear power inline counters,"['cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
clear power inline monitor consumption,"['cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
clear qos statistics,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
clear queue statistics,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
clear radius server accounting,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
clear radius server rejected users,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
clear radius server statistics,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
clear radius server unknown nas,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
clear rip statistics,"['cbs_350', 'cat_1300']",RIP Commands
clear rmon statistics,['cbs_220'],RMON Commands
clear sflow statistics,"['cbs_350', 'cat_1300']",sFlow Commands
clear spanning-tree counters,"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
clear spanning-tree detected-protocols,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
clear storm-control counters,"['cbs_250', 'cbs_350', 'cat_1300']",Rate Limit and Storm Commands
clear switchport monitor,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
client-name,"['cbs_350', 'cat_1300']",DHCP Server Commands
clock dhcp timezone,"['cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
clock set,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
clock source,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
clock summer-time,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
clock timezone,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
configure,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
copy,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",File System Commands
crypto certificate generate,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",RSA and Certificate Commands
crypto certificate import,"['cbs_250', 'cbs_350', 'cat_1300']",RSA and Certificate Commands
crypto certificate request,"['cbs_250', 'cbs_350', 'cat_1300']",RSA and Certificate Commands
crypto key generate,['cbs_220'],Telnet and SSH Commands
crypto key generate dsa,"['cbs_250', 'cbs_350', 'cat_1300']",RSA and Certificate Commands
crypto key generate rsa,"['cbs_250', 'cbs_350', 'cat_1300']",RSA and Certificate Commands
crypto key import,"['cbs_250', 'cbs_350', 'cat_1300']",RSA and Certificate Commands
crypto key pubkey-chain ssh,"['cbs_250', 'cbs_350', 'cat_1300']","Telnet, SSH and Slogin Commands"
data,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
default interface,['cbs_220'],Ethernet Configuration Commands
default-information originate,"['cbs_350', 'cat_1300']",RIP Commands
default-metric,"['cbs_350', 'cat_1300']",RIP Commands
default-router,"['cbs_350', 'cat_1300']",DHCP Server Commands
delete,"['cbs_250', 'cbs_350', 'cat_1300']",File System Commands
delete backup-config,['cbs_220'],Configuration and Image File Commands
delete startup-config,['cbs_220'],Configuration and Image File Commands
deny ( IP ),"['cbs_250', 'cbs_350', 'cat_1300']",ACL Commands
deny ( IPv6 ),"['cbs_250', 'cbs_350', 'cat_1300']",ACL Commands
deny (IP),['cbs_220'],ACL Commands
deny (IPv6),['cbs_220'],ACL Commands
deny (MAC),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",ACL Commands
deny (Management),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Management  ACL Commands
description,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
description 802.1x,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
device-role (IPv6 DHCP Guard),"['cbs_350', 'cat_1300']",IPv6 First Hop Security
device-role (ND Inspection Policy),"['cbs_350', 'cat_1300']",IPv6 First Hop Security
device-role (Neighbor Binding),"['cbs_350', 'cat_1300']",IPv6 First Hop Security
device-role (RA Guard Policy),"['cbs_350', 'cat_1300']",IPv6 First Hop Security
dir,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",File System Commands
directed-broadcast,"['cbs_250', 'cbs_350', 'cat_1300']",IP Routing Protocol-Independent Commands
disable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
disable ports leds,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
dns-server,"['cbs_350', 'cat_1300']",DHCP Server Commands
do,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
domain-name,"['cbs_350', 'cat_1300']",DHCP Server Commands
dot1x auth-not-req,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x authentication,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x credentials,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x eap-max-retrans,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x guest-vlan,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x guest-vlan enable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x guest-vlan enable (Interface),['cbs_220'],802.1X Commands
dot1x guest-vlan timeout,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x host-mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x mac-auth,['cat_1300'],802-1x Commands
dot1x mac-auth password,['cat_1300'],802-1x Commands
dot1x max-hosts,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x max-login-attempts,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x max-req,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x page customization,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x port-control,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x radius-attributes vlan,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x re-authenticate,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x reauthentication,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x supplicant,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x supplicant traps authentication failure,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x supplicant traps authentication success,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x system-auth-control,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x timeout eap-timeout,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x timeout quiet-period,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x timeout reauth-period,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x timeout server-timeout,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x timeout silence-period,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x timeout supp-timeout,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x timeout supplicant-held-period,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x timeout tx-period,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x traps authentication failure,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x traps authentication quiet,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x traps authentication success,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x unlock client,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
dot1x violation-mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
drop-unsecure,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
duplex,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
dying-gasp enable,['cat_1300'],System Management Commands
eee enable (global),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",EEE Commands
eee enable (interface),"['cbs_250', 'cbs_350', 'cat_1300']",EEE Commands
eee lldp enable,"['cbs_250', 'cbs_350', 'cat_1300']",EEE Commands
enable,"['cbs_220', 'cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
enable authentication,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
enable password,"['cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
end,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
errdisable recovery,['cbs_220'],Ethernet Configuration Commands
errdisable recovery cause,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
errdisable recovery interval,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
errdisable recovery reset,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
ethtype,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
exec-banner,"['cbs_250', 'cbs_350']",User Interface Commands
exec-timeout,"['cbs_220', 'cbs_350', 'cat_1300']",Line Commands
exit (Configuration),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
exit (EXEC),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
exit (MST),"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
file-system logging,"['cbs_250', 'cbs_350', 'cat_1300']",SYSLOG Commands
flowcontrol,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
green-ethernet energy-detect (global),"['cbs_250', 'cbs_350', 'cat_1300']",Green Ethernet Commands
green-ethernet energy-detect (interface),"['cbs_250', 'cbs_350', 'cat_1300']",Green Ethernet Commands
green-ethernet power-meter reset,"['cbs_250', 'cbs_350', 'cat_1300']",Green Ethernet Commands
green-ethernet short-reach (global),"['cbs_250', 'cbs_350', 'cat_1300']",Green Ethernet Commands
green-ethernet short-reach (interface),"['cbs_250', 'cbs_350', 'cat_1300']",Green Ethernet Commands
gvrp enable (Global),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",GVRP Commands
gvrp enable (Interface),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",GVRP Commands
gvrp registration-forbid,"['cbs_250', 'cbs_350', 'cat_1300']",GVRP Commands
gvrp registration-mode,['cbs_220'],GVRP Commands
gvrp vlan-creation-forbid,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",GVRP Commands
help,"['cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
history,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
history size,"['cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
hop-limit,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
hostname,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
instance (MST),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
interface,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
interface ip,"['cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
interface range,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
interface range vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
interface tunnel,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Tunnel Commands
interface vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
ip SSH logging,"['cbs_250', 'cbs_350', 'cat_1300']","Telnet, SSH and Slogin Commands"
ip access-group in,['cbs_220'],ACL Commands
ip access-list (IP extended),"['cbs_250', 'cbs_350', 'cat_1300']",ACL Commands
ip access-list (IP standard),"['cbs_250', 'cbs_350', 'cat_1300']",ACL Commands
ip access-list extended,['cbs_220'],ACL Commands
ip address,"['cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
ip address dhcp,"['cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
ip arp inspection,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Snooping Commands
ip arp inspection limit rate,['cbs_220'],IP ARP Inspection Commands
ip arp inspection list assign,"['cbs_350', 'cat_1300']",DHCP Snooping Commands
ip arp inspection list create,"['cbs_350', 'cat_1300']",DHCP Snooping Commands
ip arp inspection logging interval,"['cbs_350', 'cat_1300']",DHCP Snooping Commands
ip arp inspection trust,['cbs_220'],IP ARP Inspection Commands
ip arp inspection validate,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Snooping Commands
ip arp inspection vlan,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Snooping Commands
ip arp proxy disable,"['cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
ip default-gateway,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
ip dhcp excluded-address,"['cbs_350', 'cat_1300']",DHCP Server Commands
ip dhcp information option,"['cbs_250', 'cbs_350', 'cat_1300']",DHCP Relay Commands
ip dhcp information option circuit-id,"['cbs_250', 'cbs_350', 'cat_1300']",DHCP Relay Commands
ip dhcp information option numeric-token-format,"['cbs_250', 'cbs_350', 'cat_1300']",DHCP Relay Commands
ip dhcp information option remote-id,"['cbs_250', 'cbs_350', 'cat_1300']",DHCP Relay Commands
ip dhcp pool host,"['cbs_350', 'cat_1300']",DHCP Server Commands
ip dhcp pool network,"['cbs_350', 'cat_1300']",DHCP Server Commands
ip dhcp relay address (Global),"['cbs_250', 'cbs_350', 'cat_1300']",DHCP Relay Commands
ip dhcp relay enable (Global),"['cbs_250', 'cbs_350', 'cat_1300']",DHCP Relay Commands
ip dhcp relay enable (Interface),"['cbs_250', 'cbs_350', 'cat_1300']",DHCP Relay Commands
ip dhcp server,"['cbs_350', 'cat_1300']",DHCP Server Commands
ip dhcp snooping,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Snooping Commands
ip dhcp snooping binding,"['cbs_350', 'cat_1300']",DHCP Snooping Commands
ip dhcp snooping database,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Snooping Commands
ip dhcp snooping information option,['cbs_220'],IP DHCP Snooping Commands
ip dhcp snooping information option allow-untrusted,['cbs_220'],IP DHCP Snooping Commands
ip dhcp snooping information option allowed-untrusted,"['cbs_350', 'cat_1300']",DHCP Snooping Commands
ip dhcp snooping limit rate,['cbs_220'],IP DHCP Snooping Commands
ip dhcp snooping trust,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Snooping Commands
ip dhcp snooping verify,"['cbs_350', 'cat_1300']",DHCP Snooping Commands
ip dhcp snooping verify mac-address,['cbs_220'],IP DHCP Snooping Commands
ip dhcp snooping vlan,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Snooping Commands
ip dhcp snooping vlan information option circuit-id,['cbs_220'],IP DHCP Snooping Commands
ip dhcp tftp-server file,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Auto-Update and Auto-Configuration
ip dhcp tftp-server image file,"['cbs_250', 'cbs_350', 'cat_1300']",Auto-Update and Auto-Configuration
ip dhcp tftp-server ip address,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Auto-Update and Auto-Configuration
ip domain lookup,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",DNS Client Commands
ip domain name,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",DNS Client Commands
ip domain polling-interval,"['cbs_250', 'cbs_350', 'cat_1300']",DNS Client Commands
ip domain retry,"['cbs_250', 'cbs_350', 'cat_1300']",DNS Client Commands
ip domain timeout,"['cbs_250', 'cbs_350', 'cat_1300']",DNS Client Commands
ip helper-address,"['cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
ip host,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",DNS Client Commands
ip http authentication,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
ip http port,"['cbs_250', 'cbs_350', 'cat_1300']",Web Server Commands
ip http secure-server,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Web Server Commands
ip http server,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Web Server Commands
ip http timeout-policy,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Web Server Commands
ip https certificate,"['cbs_250', 'cbs_350', 'cat_1300']",Web Server Commands
ip https logging,"['cbs_250', 'cbs_350', 'cat_1300']",Web Server Commands
ip igmp filter,['cbs_220'],IGMP Snooping Commands
ip igmp last-member-query-count,"['cbs_250', 'cbs_350', 'cat_1300']",IGMP Commands
ip igmp last-member-query-interval,"['cbs_250', 'cbs_350', 'cat_1300']",IGMP Commands
ip igmp max-groups,['cbs_220'],IGMP Snooping Commands
ip igmp profile,['cbs_220'],IGMP Snooping Commands
ip igmp query-interval,"['cbs_250', 'cbs_350', 'cat_1300']",IGMP Commands
ip igmp query-max-response-time,"['cbs_250', 'cbs_350', 'cat_1300']",IGMP Commands
