command,description
Interface ID,"['Interface Naming Conventions', 'Interface ID Interface Range Interface List', 'Interface ID Within the command-line interface, the interfaces are denoted by concatenating the following elements: Type of interface—The following types of interfaces are found on the various types of devices: Fast Ethernet (10/100 bits)—This can be written as FastEthernet or fa. Gigabit Ethernet ports (10/100/1000 bits)—This can be written either GigabitEthernet or gi. LAG (Port Channel)—This can be written as either Port-Channel or po. Interface Number—Port, LAG, tunnel, or VLAN ID. The syntax for this is: {<port-type>[ ]<port-number>}|{Port-Channel|po}[ ]<port-channel-number> Sample of these various options are shown in the example below: switchxxxxxx  configure switchxxxxxx(config)  interface gi1 switchxxxxxx(config)  interface fa1 switchxxxxxx(config)  interface Port-Channel 1 switchxxxxxx(config-if) ', 'Interface Range Interfaces may be described on an individual basis or within a range. The interface range command has the following syntax: <interface-range> := {<port-type>[ ][<first-port-number>[ - <last-port-number]}| {Port-Channel|po}[ ]<first-port-channel-number>[ - <last-port-channel-number>] A sample of this command is shown in the example below: switchxxxxxx  configure switchxxxxxx(config)  interface range gi1-5 switchxxxxxx(config-if-range) ', 'Interface List A combination of interface types can be specified in the interface range command in the following format: <range-list> := <interface-range> | <range-list>,< interface-range> Note Range lists can contain either ports or port channels. The space after the comma is optional. When a range list is defined, a space after the first entry and before the comma (,) must be entered. A sample of this command is shown in this example: switchxxxxxx  configure switchxxxxxx(config)  interface range gi1,gi4-5 switchxxxxxx(config-if-range) ']"
Interface ID,"['Interface ID', 'Within the command-line interface, the interfaces are denoted by concatenating the following elements: Type of interface—The following types of interfaces are found on the various types of devices: Fast Ethernet (10/100 bits)—This can be written as FastEthernet or fa. Gigabit Ethernet ports (10/100/1000 bits)—This can be written either GigabitEthernet or gi. LAG (Port Channel)—This can be written as either Port-Channel or po. Interface Number—Port, LAG, tunnel, or VLAN ID. The syntax for this is: {<port-type>[ ]<port-number>}|{Port-Channel|po}[ ]<port-channel-number> Sample of these various options are shown in the example below: switchxxxxxx  configure switchxxxxxx(config)  interface gi1 switchxxxxxx(config)  interface fa1 switchxxxxxx(config)  interface Port-Channel 1 switchxxxxxx(config-if) ']"
Interface Range,"['Interface Range', 'Interfaces may be described on an individual basis or within a range. The interface range command has the following syntax: <interface-range> := {<port-type>[ ][<first-port-number>[ - <last-port-number]}| {Port-Channel|po}[ ]<first-port-channel-number>[ - <last-port-channel-number>] A sample of this command is shown in the example below: switchxxxxxx  configure switchxxxxxx(config)  interface range gi1-5 switchxxxxxx(config-if-range) ']"
Interface List,"['Interface List', 'A combination of interface types can be specified in the interface range command in the following format: <range-list> := <interface-range> | <range-list>,< interface-range> Note Range lists can contain either ports or port channels. The space after the comma is optional. When a range list is defined, a space after the first entry and before the comma (,) must be entered. A sample of this command is shown in this example: switchxxxxxx  configure switchxxxxxx(config)  interface range gi1,gi4-5 switchxxxxxx(config-if-range) ']"
dot1x guest-vlan enable,"To enable the guest VLAN feature on the switch and specify a VLAN as the guest VLAN, use the dot1x guest-vlan enable Global Configuration mode command. To disable the guest VLAN feature on the switch, use the no form of this command."
dot1x guest-vlan enable (Interface),"To enable unauthorized users on the interface accessing the guest VLAN, use the dot1x guest-vlan enable Interface Configuration (Ethernet) mode command. To disable unauthorized users on the interface accessing the guest VLAN, use the no form of this command."
dot1x host-mode,"To allow a single host (client) or multiple hosts on an IEEE 802.1X-authorized port, use the dot1x host-mode Interface Configuration mode command. To restore the default setting, use the no form of this command."
dot1x max-hosts,"To set the maximum authenticated hosts allowed, use the dot1x max-hosts Interface Configuration mode command. To restore the default value, use the no form of this command."
dot1x max-req,"To set the maximum number of times that the switch sends an Extensible Authentication Protocol (EAP) request or identity frame (assuming that no response is received) to the client before restarting the authentication process, use the dot1x max-req Interface Configuration mode command. To revert to its default setting, use the no form of this command."
dot1x port-control,"To enable manual control of the port authorization state, use the dot1x port-control Interface Configuration (Ethernet) mode command. To disable manual control of the port authorization state, use the no form of this command."
dot1x radius-attributes vlan,"To enable user-based VLAN assignment, use the dot1x radius-attributes vlan Interface Configuration mode command. To disable user-based VLAN assignment, use the no form of this command."
dot1x reauthentication,"To enable periodic reauthentication of the client, use the dot1x reauthentication Interface Configuration (Ethernet) mode command. To disable periodic reauthentication of the client, use the no form of this command."
dot1x system-auth-control,"To enable 802.1X globally on the switch, use the dot1x system-auth-control Global Configuration mode command. To disable 802.1X globally on the switch, use the no form of this command."
dot1x timeout server-timeout,"To set the time interval during which the device waits for a response from the authentication server, use the dot1x timeout server-timeout Interface Configuration mode command. To restore the default server timeout, use the no form of this command."
dot1x timeout quiet-period,"To set the time interval that the switch remains in a quiet state following a failed authentication exchange (for example, the client provided an invalid password), use the dot1x timeout quiet-period Interface Configuration (Ethernet) mode command. To revert to its default setting, use the no form of this command."
dot1x timeout reauth-period,"To set the number of seconds between reauthentication attempts, use the dot1x timeout reauth-period Interface Configuration (Ethernet) mode command. To revert to its default setting, use the no form of this command."
dot1x timeout supp-timeout,"To set the time interval during which the switch waits for a response to an Extensible Authentication Protocol (EAP) request frame from the client before resending the request, use the dot1x timeout supp-timeout Interface Configuration (Ethernet) mode command. To revert to its default setting, use the no form of this command."
dot1x timeout tx-period,"To set the time interval during which the device waits for a response to an Extensible Authentication Protocol (EAP) request/identity frame from the client before resending the request, use the dot1x timeout tx-period Interface Configuration (Ethernet) mode command. To restore the default tx period, use the no form of this command."
dot1x violation-mode,"To configure the action to be taken, when a station whose MAC address is not the supplicant MAC address, attempts to access the interface, use the dot1x violation-mode Interface Configuration mode command. To restore the default, use the no form of this command."
show dot1x,"To display the 802.1X global or specified interface status, use the show dot1x Privileged EXEC mode command."
show dot1x authenticated-hosts,"To show information for all dot1x authenticated hosts, use the show dot1x authenticated-hosts Privileged EXEC mode command."
show dot1x guest-vlan,"To show the 802.1X guest VLAN information for all interfaces, use the show dot1x guest-vlan Privileged EXEC mode command."
show dot1x sessions,"To display the 802.1X authentication sessions information, use the show dot1x sessions Privileged EXEC mode command."
aaa authentication enable,"To set one or more authentication methods for accessing higher privilege levels, use the aaa authentication enable Global Configuration mode command. To restore the default authentication method, use the no form of this command."
aaa authentication login,"To set one or more authentication methods to be applied during login, use the aaa authentication login Global Configuration mode command. To restore the default authentication method, use the no form of this command."
enable authentication,"To specify the authentication method for accessing a higher privilege level from a remote Telnet or console, use the enable authentication Line Configuration mode command. To restore the default authentication method, use the no form of this command."
enable,"To set a local password to control access to normal and privilege levels, use the enable Global Configuration mode command. To restore the default password, use the no form of this command."
ip http authentication,"To specify one or more AAA methods for HTTP and HTTPS login authentications, use the ip http authentication Global Configuration mode command."
login authentication,"To specify the login authentication method list for a remote Telnet or console session, use the login authentication Line Configuration mode command. To restore the default authentication method, use the no form of this command."
passwords aging,"To enforce the password aging, use the passwords aging Global Configuration mode command. To revert to its default setting, use the no form of this command."
passwords complexity attributes,"To configure the minimum password requirements when the password complexity is enabled, use the passwords complexity <attributes> Global Configuration mode commands. To revert to its default setting, use the no form of these commands."
passwords complexity enable,"To enforce the minimum password complexity, use the passwords complexity enable Global Configuration mode command. To disable enforcing the password complexity, use the no form of this command."
show aaa authentication lists,"To show information for the AAA authentication lists, use the show aaa authentication lists Privileged EXEC command."
show line lists,"To show all AAA method lists for different line types, use the show line lists Privileged EXEC mode command."
show passwords configuration,"To show the password management configuration, use the show passwords configuration Privileged EXEC mode command."
show username,"To show all user accounts in local database, use the show username Privileged EXEC mode command."
username,"To add a new user or edit an existing user, use the username Global Configuration mode command. To delete a username, use the no form of this command."
deny (MAC),"To set deny conditions (conditions are also known as access control entries [ACEs]) for a MAC-based ACL, use the deny MAC Access-List Configuration mode command. To remove a MAC-based ACE, use the no sequence command."
deny (IP),"To set deny conditions for an IPv4-based ACL, use the deny IP Access-List Configuration mode command. To remove an IPv4-based ACE, use the no sequence command."
deny (IPv6),"To set deny conditions for an IPv6-based ACL, use the deny IPv6 Access-List Configuration mode command. To remove an IPv6-based ACE, use the no sequence command."
ip access-group in,"To bind an IPv4-based ACL to an interface, use the ip access-group in Interface Configuration mode command. To remove all IPv4-based ACLs from an interface, use the no form of this command."
ip access-list extended,"To name an IPv4-based ACL and to enter the IPv4 Access-List Configuration mode, use the ip access-list extended Global Configuration mode command. To remove an IPv4-based ACL, use the no form of this command."
ipv6 access-group in,"To bind an IPv6-based ACL to an interface, use the ipv6 access-group in Interface Configuration mode command. To remove all IPv6-based ACLs from an interface, use the no form of this command."
ipv6 access-list,"To define an IPv6-based ACL and to enter the IPv6 Access-List Configuration mode, use the ipv6 access-list Global Configuration mode command. To remove an IPv6-based ACL, use the no form of this command."
mac access-group in,"To bind a MAC-based ACL to an interface, use the mac access-group in Interface Configuration mode command. To remove all MAC-based ACLs from an interface, use the no form of this command."
mac access-list extended,"To define a Layer 2 ACL based on source MAC address filtering and to enter the MAC Access-List Configuration mode, use the mac access-list extended Global Configuration mode command. To remove a MAC-based ACL, use the no form of this command."
no sequence,"To remove a permit or deny ACE for an IPv4-based ACL, an IPv6-based ACL, or a MAC-based ACL, use the no sequence command in the IP Access-List Configuration mode, in the IPv6 Access-List Configuration mode, or in the MAC Access-List Configuration mode."
permit (IP),"To set permit conditions for an IPv4-based ACL, use the permit IP Access-List Configuration mode command. To remove an IPv4-based ACE, use the no sequence command."
permit (IPv6),"To set permit conditions for an IPv6-based ACL, use the permit command in the IPv6 Access-List Configuration mode. To remove an IPv6-based ACE, use the no sequence command."
permit (MAC),"To set permit conditions for a MAC-based ACL, use the permit command in the MAC Access-List Configuration mode. To remove a MAC-based ACE, use the no sequence command."
show access-lists,"To display the ACLs for a specific class defined on the switch, use the show access-lists Privileged EXEC mode command."
show access-lists,"To display all ACLs configured on the switch, use the show access-lists Privileged EXEC mode command."
show access-lists utilization,"To display the utilization of the access-list group, use the show access-lists utilization Privileged EXEC mode command."
bridge multicast reserved-address,"To define the action on multicast reserved-address packets, use the bridge multicast reserved-address Global Configuration mode command."
clear mac address-table,"To clear the learned entries from the forwarding database (FDB), use the clear mac address-table Privileged EXEC command."
mac address-table aging-time,"To set the aging time of the MAC address table, use the mac address-table aging-time Global Configuration mode command."
mac address-table static,"To add a MAC-layer station source address to the MAC address table, use the mac address-table static Global Configuration mode command. To delete a MAC address from the MAC address table, use the no form of this command."
show bridge multicast reserved-address,"To show information for all reserved MAC addresses, use the show bridge multicast reserved-address Privileged EXEC mode command."
show mac address-table,"To show the entries in the MAC address table, use the show mac address-table Privileged EXEC command."
show mac address-table aging-time,"To show the MAC address aging time, use the show mac address-table aging-time Privileged EXEC mode command."
show port-security,"To show the port security status, use the show port-security Privileged EXEC mode command."
switchport port-security,"To enable the port security on an interface, use the switchport port-security Interface Configuration mode command. To disable the port security on an interface, use the no form of this command."
switchport port-security mode maximum,"To set the port security learning mode and the maximum number of MAC addresses that can be learned on an interface, use the switchport port-security mode maximum Interface Configuration mode command. To revert to its default settings, use the no form of this command."
bonjour enable,"To enable Bonjour globally on the switch, use the bonjour enable Global Configuration mode command. To disable Bonjour, use the no form of this command."
show bonjour,"To show Bonjour information, use the show bonjour Privileged EXEC Configuration mode command."
cdp advertise-v2,"To use Cisco Discovery Protocol (CDP) version 2 for all transmitted CDP packets, use the cdp advertise-v2 Global Configuration mode command. To use CDP version 1, use the no form of this command."
