command,syntax
deny (IPv6),"['[sequence value] deny protocol {any | source-prefix/length} {any | destination- prefix/length} [dscp number | precedence number] [disable-port]', '[sequence value] deny icmp {any | source-prefix {any | source-prefix/length } {any | destination- prefix/length} {any | icmp-type} {any | icmp-code} [dscp number | precedence number] [disable-port]', '[sequence value] deny tcp {any | source-prefix/length} {any | source-port/port-range} {any | destination- prefix/length} {any| destination-port/port-range} [dscp number | precedence number] [match-all list-of-flags] [disable-port]', '[sequence value] deny udp {any | source-prefix/length} {any | source-port/port-range} {any | destination- prefix/length} {any | destination-port/port-range} [dscp number | precedence number] [match-all list-of-flags] [disable-port]', 'no sequence value']"
ip access-group in,"['ip access-group acl-name in', 'no ip access-group in']"
ip access-list extended,"['ip access-list extended acl-name', 'no ip access-list extended acl-name']"
ipv6 access-group in,"['ipv6 access-group acl-name in', 'no ipv6 access-group in']"
ipv6 access-list,"['ipv6 access-list acl-name', 'no ipv6 access-list acl-name']"
mac access-group in,"['mac access-group acl-name in', 'no mac access-group in']"
mac access-list extended,"['mac access-list extended acl-name', 'no mac access-list extended acl-name']"
no sequence,['no sequence value']
permit (IP),"['[sequence value] permit protocol {any | source source-wildcard } {any | destination destination-wildcard } [dscp number | precedence number]', '[sequence value] permit icmp {any | source source-wildcard } {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [dscp number | precedence number]', '[sequence value] permit tcp {any | source source-wildcard } {any | source-port/port-range} {any | destination destination-wildcard } {any | destination-port/port-range } [dscp number | precedence number ] [match-all list-of-flags]', '[sequence value] permit udp {any | source source-wildcard } {any | source-port/port-range } {any | destination destination-wildcard } {any | destination-port/port-range } [dscp number | precedence number]', 'no sequence value']"
permit (IPv6),"['[sequence value] permit protocol {any | source-prefix/length } {any | destination- prefix/length } [dscp number | precedence number ]', '[sequence value] permit icmp {any | {source-prefix/length } {any | destination- prefix/length } {any | icmp-type } {any | icmp-code } [dscp number | precedence number]', '[sequence value] permit tcp {any | source-prefix/length } {any | source-port/port-range} {any | destination- prefix/length} {any | destination-port/port-range} [dscp number | precedence number ] [match-all list-of-flags]', '[sequence value] permit udp {any | source-prefix/length } {any | source-port/port-range} {any | destination- prefix/length} {any | destination-port/port-range} [dscp number | precedence number ]', 'no sequence value']"
permit (MAC),"['[sequence value] permit {any | source source-wildcard} {any | destination destination-wildcard} [any | vlan vlan-id] [cos cos cos-wildcard] [ethtype value]', 'no sequence value']"
show access-lists,['show {ip | ipv6 | mac} access-lists [acl-name]']
show access-lists,['show access-lists']
show access-lists utilization,['show access-lists utilization']
bridge multicast reserved-address,['bridge multicast reserved-address mac-multicast-address {discard | bridge}']
clear mac address-table,['clear mac address-table dynamic [interfaces interface-id | vlan vlan-id]']
mac address-table aging-time,['mac address-table aging-time seconds']
mac address-table static,"['mac address-table static mac-address vlan vlan-id interfaces interface-id [delete-on-reboot | delete-on-timeout | permanent | secure]', 'mac address-table static mac-address vlan vlan-id drop', 'no mac address-table static mac-address vlan vlan-id']"
show bridge multicast reserved-address,['show bridge multicast reserved-address']
show mac address-table,"['show mac address-table [dynamic | static] [interfaces interface-id] [vlan vlan]', 'show mac address-table [mac-address] [vlan vlan]']"
show mac address-table aging-time,['show mac address-table aging-time']
show port-security,['show port-security interfaces interface-id']
switchport port-security,"['switchport port-security', 'no switchport port-security']"
switchport port-security mode maximum,"['switchport port-security mode {classic | dynamic} maximum max-addr action { discard | {discard-snmp-log trap-freq seconds} | {discard-snmp-log-shutdown trap-freq seconds} | forward}', 'no switchport port-security maximum']"
bonjour enable,"['bonjour enable', 'no bonjour enable']"
show bonjour,['show bonjour']
cdp advertise-v2,"['cdp advertise-v2', 'no cdp advertise-v2']"
cdp appliance-vlan enable,"['cdp appliance-vlan enable', 'no cdp appliance-vlan enable']"
cdp device-id format,['cdp device-id format {mac | serial-number | hostname}']
cdp enable,"['cdp enable', 'no cdp enable']"
cdp holdtime,['cdp holdtime seconds']
cdp log mismatch duplex,"['cdp log mismatch duplex', 'no cdp log mismatch duplex']"
cdp log mismatch native,"['cdp log mismatch native', 'no cdp log mismatch native']"
cdp log mismatch voip,"['cdp log mismatch voip', 'no cdp log mismatch voip']"
cdp mandatory-tlvs validation,"['cdp mandatory-tlvs validation', 'no cdp mandatory-tlvs validation']"
cdp pdu,['cdp pdu {bridging | filtering | flooding}']
cdp run,"['cdp run', 'no cdp run']"
cdp timer,['cdp timer seconds']
clear cdp counter,['clear cdp counter']
clear cdp table,['clear cdp table']
show cdp,['show cdp']
show cdp entry,['show cdp entry {* | WORD} [protocol | version]']
show cdp interfaces,['show cdp interfaces interface-id']
show cdp neighbors,['show cdp neighbors [interface-id] [detail]']
show cdp tlv,['show cdp tlv interface-id']
show cdp traffic global,['show cdp traffic global']
show cdp traffic (Interface),['show cdp traffic [interface-id]']
absolute,['absolute (end | start) HH:MM (jan | feb | mar | apr | may | jun | jul | aug | sep | oct | nov | dec) <1-31> <2000-2037>']
clock set,['clock set HH:MM:SS month day year']
clock source,['clock source {sntp | local}']
clock summer-time,"['clock summer-time zone recurring {usa | eu | {week date month HH:MM week month date HH:MM} [offset]', 'clock summer-time zone date month day year HH:MM month day year HH:MM [offset]', 'no clock summer-time']"
clock timezone,"['clock timezone zone HOUR-OFFSET [minutes]', 'no clock timezone']"
show time-range,['show time-range [NAME]']
periodic,"['periodic (sun | mon | tue | wed | thu | fri | sat) HH:MM to (sun | mon | tue | wed | thu | fri | sat) HH:MM', 'no periodic (sun | mon | tue | wed | thu | fri | sat) HH:MM to (sun | mon | tue | wed | thu | fri | sat) HH:MM', 'periodic (daily | weekdays | weekend) HH:MM to HH:MM', 'periodic (sun | mon | tue | wed | thu | fri | sat) | [(sun | mon | tue | wed | thu | fri | sat)] | [ (sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] HH:MM to HH:MM', 'no periodic (daily | weekdays | weekend) HH:MM to HH:MM', 'no periodic (sun | mon | tue | wed | thu | fri | sat) | [(sun | mon | tue | wed | thu | fri | sat)] | [ (sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] HH:MM to HH:MM']"
show clock,['show clock [detail]']
show sntp configuration,['show sntp configuration']
sntp server,"['sntp server {ip-address | hostname} [port port-number]', 'no sntp']"
time-range,"['time-range NAME', 'no time-range NAME']"
boot host auto-config,"['boot host auto-config', 'no boot host auto-config']"
boot system,['boot system {image-1 | image-2}']
ca-certificate install,"['ca-certificate install name WORD<1-160> [owner WORD<1-32>]', 'no ca-certificate install name WORD<1-160>']"
copy,['copy']
delete backup-config,['delete backup-config']
delete startup-config,['delete startup-config']
dir,['dir']
ip dhcp tftp-server file,"['ip dhcp tftp-server file WORD<1-128>', 'no ip dhcp tftp-server file']"
ip dhcp tftp-server ip address,"['ip dhcp tftp-server ip address {ipv4-address | hostname | ipv6-address}', 'no dhcp tftp-server ip address']"
management vlan ipv6 dhcp client information refresh,"['management vlan ipv6 dhcp client information refresh {infinity | <86400-4294967294> }', 'no management vlan ipv6 dhcp client information refresh', 'management vlan ipv6 dhcp client information refresh minimum {infinity | <600-4294967294> }', 'no management vlan ipv6 dhcp client information refresh minimum']"
management vlan ipv6 dhcp client stateless,"['management vlan ipv6 dhcp client stateless', 'no management vlan ipv6 dhcp client stateless']"
renew dhcp force-autoconfig,['renew dhcp force-autoconfig']
show backup-config,['show backup-config']
show boot,['show boot']
show bootvar,['show bootvar']
show ip dhcp tftp-server,['show ip dhcp tftp-server']
show running-config,['show running-config [interfaces interface-list]']
show startup-config,['show startup-config']
write,['write']
eee enable (global),"['eee enable', 'no eee enable']"
clear counters,['clear counters [interfaces interface-id]']
clear etherlike statistics,['clear etherlike statistics']
default interface,['default interface interface-id']
description,"['description string', 'no description']"
duplex,['duplex {half | full | auto}']
errdisable recovery,"['errdisable recovery {cause {all | acl | arp-inspection | bpduguard | broadcast-flood | dot1x-src-address | dhcp-rate-limit | inline-power | loopback-detection | psecure-violation | selfloop | unicast-flood | unknown-multicastflood} | interval interval}', 'no errdisable recovery {cause {all | acl | arp-inspection | bpduguard | broadcast-flood | dot1x-src-address | dhcp-rate-limit | inline-power | loopback-detection | psecure-violation | selfloop | unicast-flood | unknown-multicastflood}']"
flowcontrol,"['flowcontrol {auto | on | off}', 'no flowcontrol']"
interface,['interface interface-id']
interface range,['interface range interface-list']
jumbo-frame,"['jumbo-frame frame-size', 'no jumbo-frame']"
operation time-range,"['operation time-range NAME', 'no operation time-range']"
show errdisable recovery,['show errdisable recovery']
show interface status,['show interface status [interface-id]']
show storm-control,['show storm-control [interfaces interface-id]']
shutdown,"['shutdown', 'no shutdown']"
speed,['speed {10 | 100 | 1000 | 10000 | auto}']
storm-control action,"['storm-control action {drop | shutdown}', 'no storm-control action']"
storm-control broadcast,"['storm-control broadcast', 'no storm-control broadcast']"
storm-control broadcast level,"['storm-control broadcast level {pps | kbps}', 'no storm-control broadcast level']"
storm-control enable,"['storm-control enable', 'no storm-control enable']"
storm-control ifg,['storm-control ifg {include | exclude}']
storm-control unit,['storm-control unit {bps | pps}']
storm-control unknown-multicast,"['storm-control unknown-multicast', 'no storm-control unknown-multicast']"
storm-control unknown-multicast level,"['storm-control unknown-multicast level {pps | kbps}', 'no storm-control unknown-multicast level']"
storm-control unknown-unicast,"['storm-control unknown-unicast', 'no storm-control unknown-unicast']"
storm-control unknown-unicast level,"['storm-control unknown-unicast level {pps | kbps}', 'no storm-control unknown-unicast level']"
clear gvrp statistics,['clear gvrp {error-statistics | statistics} [interfaces interface-id]']
gvrp enable (Global),"['gvrp enable', 'no gvrp enable']"
gvrp enable (Interface),"['gvrp enable', 'no gvrp enable']"
gvrp registration-mode,['gvrp registration-mode {fixed | forbidden | normal}']
gvrp vlan-creation-forbid,"['gvrp vlan-creation-forbid', 'no gvrp vlan-creation-forbid']"
show gvrp,['show gvrp']
show gvrp configuration,['show gvrp configuration [interfaces interface-id ]']
show gvrp error-statistics,['show gvrp error-statistics [interfaces interface-id]']
show gvrp statistics,['show gvrp statistics [interfaces interface-id]']
clear ip igmp snooping groups,['clear ip igmp snooping groups [dynamic | static]']
clear ip igmp snooping statistics,['clear ip igmp snooping statistics']
ip igmp filter,"['ip igmp filter profile-number', 'no ip igmp filter']"
ip igmp max-groups,"['ip igmp max-groups number', 'no ip igmp max-groups', 'ip igmp max-groups action {deny | replace}']"
ip igmp profile,"['ip igmp profile profile-number', 'no ip igmp profile profile-number']"
ip igmp snooping,"['ip igmp snooping', 'no ip igmp snooping']"
ip igmp snooping version,['ip igmp snooping version {2 | 3}']
ip igmp snooping report-suppression,"['ip igmp snooping report-suppression', 'no ip igmp snooping report-suppression']"
ip igmp snooping unknown-multicast action,"['ip igmp snooping unknown-multicast action {drop | flood | router-port}', 'no ip igmp snooping unknown-multicast action']"
ip igmp snooping vlan,"['ip igmp snooping vlan VLAN-LIST', 'no ip igmp snooping vlan VLAN-LIST']"
ip igmp snooping vlan immediate-leave,"['ip igmp snooping vlan VLAN-LIST immediate-leave', 'no ip igmp snooping vlan VLAN-LIST immediate-leave']"
ip igmp snooping vlan forbidden mrouter,"['ip igmp snooping vlan VLAN-LIST forbidden mrouter interfaces interface-id', 'no ip igmp snooping vlan VLAN-LIST forbidden mrouter interfaces interface-id']"
ip igmp snooping vlan forbidden forward-all,"['ip igmp snooping vlan VLAN-LIST forbidden forward-all interfaces interface-id', 'no ip igmp snooping vlan VLAN-LIST forbidden forward-all interfaces interface-id']"
ip igmp snooping vlan last-member-query-count,"['ip igmp snooping vlan VLAN-LIST last-member-query-count count', 'no ip igmp snooping vlan VLAN-LIST last-member-query-count']"
ip igmp snooping vlan last-member-query-interval,"['ip igmp snooping vlan VLAN-LIST last-member-query-interval seconds', 'no ip igmp snooping vlan VLAN-LIST last-member-query-interval']"
ip igmp snooping vlan mrouter,"['ip igmp snooping vlan VLAN-LIST mrouter learn pim-dvmrp', 'no ip igmp snooping vlan VLAN-LIST mrouter learn pim-dvmrp']"
ip igmp snooping vlan querier,"['ip igmp snooping vlan VLAN-LIST querier', 'no ip igmp snooping vlan VLAN-LIST querier']"
ip igmp snooping vlan querier version,"['ip igmp snooping vlan VLAN-LIST querier version {2 | 3}', 'no ip igmp snooping vlan VLAN-LIST querier version']"
ip igmp snooping vlan query-interval,"['ip igmp snooping vlan VLAN-LIST query-interval seconds', 'no ip igmp snooping vlan VLAN-LIST query-interval']"
ip igmp snooping vlan response-time,"['ip igmp snooping vlan VLAN-LIST response-time seconds', 'no ip igmp snooping vlan VLAN-LIST response-time']"
ip igmp snooping vlan robustness-variable,"['ip igmp snooping vlan VLAN-LIST robustness-variable count', 'no ip igmp snooping vlan VLAN-LIST robustness-variable']"
ip igmp snooping vlan static,"['ip igmp snooping vlan VLAN-LIST static IPv4-Addr interface interface-id', 'no ip igmp snooping vlan VLAN-LIST static IPv4-Addr interface interface-id']"
ip igmp snooping vlan mrouter,"['ip igmp snooping vlan VLAN-LIST mrouter interfaces interface-id', 'no ip igmp snooping vlan VLAN-LIST mrouter interfaces interface-id']"
ip igmp snooping vlan forward-all,"['ip igmp snooping vlan VLAN-LIST forward-all interfaces interface-id', 'no ip igmp snooping vlan VLAN-LIST forward-all interfaces interface-id']"
profile range,['profile range ip ip-range action {permit | deny}']
show ip igmp filter,['show ip igmp filter [interfaces interface-id]']
show ip igmp max-group,['show ip igmp max-group [interfaces interface-id ]']
show ip igmp max-group action,['show ip igmp max-group action [interfaces interface-id]']
show ip igmp profile,['show ip igmp profile [profile-index]']
show ip igmp snooping,['show ip igmp snooping']
show ip igmp snooping forward-all,['show ip igmp snooping forward-all [vlan VLAN_LIST]']
show ip igmp snooping groups,['show ip igmp snooping groups [counters | dynamic | static]']
show ip igmp snooping mrouter,['show ip igmp snooping mrouter [dynamic | static | forbidden]']
show ip igmp snooping querier,['show ip igmp snooping querier']
show ip igmp snooping vlan,['show ip igmp snooping vlan [VLAN-LIST]']
clear arp-cache,['clear arp-cache [ip-address]']
ip default-gateway,"['ip default-gateway IPv4-ADDR', 'no ip default-gateway']"
ip domain lookup,"['ip domain lookup', 'no ip domain lookup']"
ip domain name,"['ip domain name hostname', 'no ip domain name']"
ip host,"['ip host hostname address1 [address2.address8]', 'no ip host hostname address1 [address2.address8]', 'Parameters', 'hostname—Name of the host. (Length: 1 to 158 characters. Maximum label length of each domain level is 63 characters.)', 'address1—Associated host IP address (IPv4 or IPv6, if IPv6 stack is supported).', 'address2.address8—(Optional) Up to seven additional associated IP addresses, delimited by a single space (IPv4 or IPv6, if IPv6 stack is supported).']"
ip name-server,"['ip name-server server-address1 [server-address2.server-address8]', 'no ip name-server']"
management vlan ip-address,['management vlan ip-address ip-address mask mask']
management vlan ip dhcp client,"['management vlan ip dhcp client', 'no management vlan ip dhcp client']"
show arp,['show arp']
show hosts,['show hosts']
show ip,['show ip']
show ip dhcp,['show ip dhcp']
clear ip arp inspection statistics vlan,['clear ip arp inspection statistics vlan VLAN-LIST']
ip arp inspection,"['ip arp inspection', 'no ip arp inspection']"
ip arp inspection limit rate,"['ip arp inspection limit rate VALUE', 'no ip arp inspection limit rate']"
ip arp inspection trust,"['ip arp inspection trust', 'no ip arp inspection trust']"
ip arp inspection validate,"['ip arp inspection validate {dst-mac | ip [allow-zeros] | src-mac}', 'no ip arp inspection validate {dst-mac | ip [allow-zeros] | src-mac}']"
ip arp inspection vlan,"['ip arp inspection vlan VLAN-LIST', 'no ip arp inspection vlan VLAN-LIST']"
show ip arp inspection,['show ip arp inspection']
show ip arp inspection interfaces,['show ip arp inspection interfaces interface-id']
show ip arp inspection statistics,['show ip arp inspection statistics [VLAN VLAN-LIST]']
clear ip dhcp snooping binding,['clear ip dhcp snooping binding {* | IPv4-Addr}']
clear ip dhcp snooping binding interface,['clear ip dhcp snooping binding interface interface-id']
clear ip dhcp snooping binding vlan,['clear ip dhcp snooping binding vlan vlan-id']
clear ip dhcp snooping database statistics,['clear ip dhcp snooping database statistics']
clear ip dhcp snooping interfaces statistics,['clear ip dhcp snooping interfaces interface-id statistics']
ip dhcp snooping,"['ip dhcp snooping', 'no ip dhcp snooping']"
ip dhcp snooping database,"['ip dhcp snooping database {flash | tftp {IPv4-ADDR NAME | HOSTNAME NAME} | timeout VALUE | write-delay VALUE }', 'no ip dhcp snooping database [timeout | write-delay]']"
ip dhcp snooping information option,"['ip dhcp snooping information option [format remote-id STRING]', 'no ip dhcp snooping information option [format remote-id]']"
ip dhcp snooping information option allow-untrusted,"['ip dhcp snooping information option allow-untrusted [replace]', 'no ip dhcp snooping information option allow-untrusted']"
ip dhcp snooping limit rate,"['ip dhcp snooping limit rate VALUE', 'no ip dhcp snooping limit rate']"
ip dhcp snooping trust,"['ip dhcp snooping trust', 'no ip dhcp snooping trust']"
ip dhcp snooping verify mac-address,"['ip dhcp snooping verify mac-address', 'no ip dhcp snooping verify mac-address']"
ip dhcp snooping vlan,"['ip dhcp snooping vlan VLAN-LIST', 'no ip dhcp snooping vlan VLAN-LIST']"
ip dhcp snooping vlan information option circuit-id,"['ip dhcp snooping vlan VLAN-LIST information option circuit-id STRING', 'no ip dhcp snooping vlan VLAN-LIST information option circuit-id']"
renew ip dhcp snooping database,['renew ip dhcp snooping database']
show ip dhcp snooping,['show ip dhcp snooping']
show ip dhcp snooping binding,['show ip dhcp snooping binding']
show ip dhcp snooping database,['show ip dhcp snooping database']
show ip dhcp snooping information option format remote-id,['show ip dhcp snooping information option format remote-id']
show ip dhcp snooping interfaces,['show ip dhcp snooping interfaces interface-id']
show ip dhcp snooping interfaces statistics,['show ip dhcp snooping interfaces interface-id statistics']
ip source binding,"['ip source binding MAC-Addr vlan VLAN-LIST IPv4-Addr interface interface-id', 'no ip source binding MAC-Addr vlan VLAN-LIST IPv4-Addr interface interface-id']"
ip source binding max-entry,['ip source binding max-entry {value | no-limit}']
ip verify source,"['ip verify source [mac-and-ip]', 'no ip verify source']"
show ip source binding,['show ip source binding [dynamic | static]']
show ip verify source interfaces,['show ip verify source interfaces [interface-id]']
ipv6 default-gateway,['ipv6 default-gateway ipv6-address']
management vlan ipv6-address,['management vlan ipv6-address ipv6-address prefix-length prefix-length']
management vlan ipv6-address-autoconfig,"['management vlan ipv6-address-autoconfig', 'no management vlan ipv6-address-autoconfig']"
management vlan ipv6-address-dhcp,"['management vlan ipv6-address-dhcp', 'no management vlan ipv6-address-dhcp']"
show ipv6,['show ipv6']
show ipv6 dhcp,['show ipv6 dhcp']
clear ipv6 mld snooping groups,['clear ipv6 mld snooping groups [dynamic | static]']
clear ipv6 mld snooping statistics,['clear ipv6 mld snooping statistics']
ipv6 mld filter,"['ipv6 mld filter profile-number', 'no ipv6 mld filter']"
ipv6 mld max-groups,"['ipv6 mld max-groups number', 'no ipv6 mld max-groups number', 'ipv6 mld max-groups action {deny | replace}']"
ipv6 mld profile,"['ipv6 mld profile profile-number', 'no ip igmp profile profile-number']"
ipv6 mld snooping,"['ipv6 mld snooping [version {1 | 2}]', 'no ipv6 mld snooping']"
ipv6 mld snooping report-suppression,"['ipv6 mld snooping report-suppression', 'no ipv6 mld snooping report-suppression']"
ipv6 mld snooping vlan,"['ipv6 mld snooping vlan VLAN-LIST', 'no ipv6 mld snooping vlan VLAN-LIST']"
ipv6 mld snooping vlan immediate-leave,"['ipv6 mld snooping vlan VLAN-LIST immediate-leave', 'no ipv6 mld snooping vlan VLAN-LIST immediate-leave']"
ipv6 mld snooping vlan forbidden mrouter,"['ipv6 mld snooping vlan VLAN-LIST forbidden mrouter interfaces interface-id', 'no ipv6 mld snooping vlan VLAN-LIST forbidden mrouter interfaces interface-id']"
ipv6 mld snooping vlan forbidden forward-all,"['ip6 mld snooping vlan VLAN-LIST forbidden forward-all interfaces interface-id', 'no ip6 mld snooping vlan VLAN-LIST forbidden forward-all interfaces interface-id']"
ipv6 mld snooping vlan last-member-query-count,"['ipv6 mld snooping vlan VLAN-LIST last-member-query-count VALUE', 'no ipv6 mld snooping vlan VLAN-LIST last-member-query-count']"
ipv6 mld snooping vlan last-member-query-interval,"['ipv6 mld snooping vlan VLAN-LIST last-member-query-interval VALUE', 'no ipv6 mld snooping vlan VLAN-LIST last-member-query-interval']"
ipv6 mld snooping vlan mrouter learn pim-dvmrp,"['ipv6 mld snooping vlan VLAN-LIST mrouter learn pim-dvmrp', 'no ipv6 mld snooping vlan VLAN-LIST mrouter learn pim-dvmrp']"
ipv6 mld snooping vlan query-interval,"['ipv6 mld snooping vlan VLAN-LIST query-interval VALUE', 'no ipv6 mld snooping vlan VLAN-LIST query-interval']"
ipv6 mld snooping vlan response-time,"['ipv6 mld snooping vlan VLAN-LIST response-time seconds', 'no ipv6 mld snooping vlan VLAN-LIST response-time']"
ipv6 mld snooping vlan robustness-variable,"['ipv6 mld snooping vlan VLAN-LIST robustness-variable VALUE', 'no ipv6 mld snooping vlan VLAN-LIST robustness-variable']"
ipv6 mld snooping vlan static interface,"['ipv6 mld snooping vlan VLAN-LIST static IPv6-Addr interface interface-id', 'no ipv6 mld snooping vlan VLAN-LIST static IPv6-Addr interface interface-id']"
ipv6 mld snooping vlan mrouter,"['ipv6 mld snooping vlan VLAN-LIST mrouter interfaces interface-id', 'no ipv6 mld snooping vlan VLAN-LIST mrouter interfaces interface-id']"
ipv6 mld snooping vlan forward-all,"['ipv6 mld snooping vlan VLAN-LIST forward-all interfaces interface-id', 'no ipv6 mld snooping vlan VLAN-LIST forward-all interfaces interface-id']"
profile range,['profile range ipv6 ipv6-range action {deny | permit}']
show ipv6 mld filter,['show ipv6 mld filter [interfaces interface-id]']
show ipv6 mld max-group,['show ipv6 mld max-group [interfaces interface-id]']
show ipv6 mld max-group action,['show ipv6 mld max-group action [interfaces interface-id]']
show ipv6 mld profile,['show ipv6 mld profile [profile-index]']
show ipv6 mld snooping,['show ipv6 mld snooping']
show ipv6 mld snooping forward-all,['show ipv6 mld snooping forward-all [vlan VLAN_LIST]']
show ipv6 mld snooping groups,['show ipv6 mld snooping groups [{dynamic | static} | counters]']
show ipv6 mld snooping mrouter,['show ipv6 mld snooping mrouter [dynamic | static | forbidden]']
show ipv6 mld snooping vlan,['show ipv6 mld snooping vlan [VLAN-LIST]']
loopback-detection enable (Global),"['loopback-detection enable', 'no loopback-detection enable']"
loopback-detection enable (Interface),"['loopback-detection enable', 'no loopback-detection enable']"
loopback-detection interval,"['loopback-detection interval seconds', 'no loopback-detection interval']"
show loopback-detection,['show loopback-detection [interfaces interface-id]']
lacp port-priority,"['lacp port-priority VALUE', 'no lacp port-priority']"
lacp system-priority,"['lacp system-priority VALUE', 'no lacp system-priority']"
lacp timeout,['lacp timeout {long | short}']
show lacp,"['show lacp sys-id', 'show lacp [channel-group-number] counters', 'show lacp [channel-group-number] {internal | neighbor} [detail]']"
clear line,['clear line {ssh | telnet}']
exec-timeout,"['exec-timeout minutes', 'no exec-timeout']"
line,['line {console | ssh | telnet}']
password-thresh,['password-thresh value']
show line,['show line [console | telnet | ssh]']
silent-time,['silent-time value']
speed,"['speed bps', 'no speed']"
clear lldp statistics,['clear lldp statistics']
lldp holdtime-multiplier,"['lldp holdtime-multiplier number', 'no lldp holdtime-multiplier']"
lldp lldpdu,['lldp lldpdu {bridging | filtering | flooding}']
lldp med,"['lldp med {enable | disable}', 'no lldp med']"
lldp med fast-start-repeat-count,"['lldp med fast-start-repeat-count number', 'no lldp med fast-start-repeat-count']"
lldp med location,"['lldp med location {civic-address data | coordinate data | ecs-elin data}', 'no lldp med location {civic-address | coordinate | ecs-elin}']"
lldp med network-policy voice auto,"['lldp med network-policy voice auto', 'no lldp med network-policy voice auto']"
