command,syntax_products
accept-lifetime,"[('accept-lifetime start-time {infinite | end-time | duration seconds}', 'cbs_250, cbs_350, cat_1300'), ('no accept-lifetime', 'cbs_250, cbs_350, cat_1300')]"
address (DHCP Host),"[('address ip-address {mask | prefix-length} {client-identifier unique-identifier | hardware-address mac-address}', 'cbs_350, cat_1300'), ('no address', 'cbs_350, cat_1300')]"
address (DHCP Network),"[('address {network-number | low low-address high high-address} {mask | prefix-length}', 'cbs_350, cat_1300'), ('no address', 'cbs_350, cat_1300')]"
address-config,"[('address-config [stateless | any] [dhcp]', 'cbs_350, cat_1300'), ('no address-config', 'cbs_350, cat_1300')]"
address-prefix-validation,"[('address-prefix-validation [enable | disable]', 'cbs_350, cat_1300'), ('no address-prefix-validation', 'cbs_350, cat_1300')]"
allowed-time-range,"[('allowed-time-range time-range-name', 'cbs_250, cbs_350, cat_1300'), ('no allowed-time-range', 'cbs_250, cbs_350, cat_1300')]"
arp,"[('arp ip-address mac-address [interface-id]', 'cbs_250, cbs_350, cat_1300'), ('no arp ip-address', 'cbs_250, cbs_350, cat_1300')]"
arp timeout (Global),"[('arp timeout seconds', 'cbs_250, cbs_350, cat_1300'), ('no arp timeout', 'cbs_250, cbs_350, cat_1300')]"
authentication open,"[('authentication open', 'cbs_250, cbs_350, cat_1300'), ('no authentication open', 'cbs_250, cbs_350, cat_1300')]"
auto-default-router,"[('auto-default-router', 'cbs_350, cat_1300'), ('no auto-default-router', 'cbs_350, cat_1300')]"
autobaud,"[('autobaud', 'cbs_350, cat_1300'), ('no autobaud', 'cbs_350, cat_1300')]"
back-pressure,"[('back-pressure', 'cbs_250, cbs_350, cat_1300'), ('no back-pressure', 'cbs_250, cbs_350, cat_1300')]"
banner exec,"[('banner exec delimiter', 'cbs_220'), ('no banner exec', 'cbs_220, cbs_250, cbs_350'), ('banner exec d message-text d', 'cbs_250, cbs_350')]"
banner login,"[('banner login delimiter', 'cbs_220'), ('no banner login', 'cbs_220, cbs_250, cbs_350'), ('banner login d message-text d', 'cbs_250, cbs_350')]"
bluetooth device-name,"[('bluetooth device-name device-name', 'cat_1300'), ('no bluetooth device-name', 'cat_1300')]"
bluetooth pin,"[('bluetooth pin pin', 'cat_1300'), ('no bluetooth pin.', 'cat_1300')]"
bonjour enable,"[('bonjour enable', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no bonjour enable', 'cbs_220'), ('no bonjour enable.', 'cbs_250, cbs_350, cat_1300')]"
bonjour interface range,"[('bonjour interface range interface-list', 'cbs_250, cbs_350, cat_1300'), ('no bonjour interface range [interface-list]', 'cbs_250, cbs_350, cat_1300')]"
boot config,"[('boot config startup-config-url', 'cbs_250, cbs_350, cat_1300'), ('boot config running-config', 'cbs_250, cbs_350, cat_1300'), ('boot config mirror-config', 'cbs_250, cbs_350, cat_1300'), ('no boot config', 'cbs_250, cbs_350, cat_1300')]"
boot host auto-config,"[('boot host auto-config', 'cbs_220'), ('no boot host auto-config', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('boot host auto-config [tftp | scp | auto [extension]', 'cbs_250, cbs_350, cat_1300')]"
boot host auto-update,"[('boot host auto-update [tftp | scp | auto [extension]', 'cbs_250, cbs_350, cat_1300'), ('no boot host auto-update', 'cbs_250, cbs_350, cat_1300')]"
boot localization,"[('boot localization dictionary-url', 'cbs_250, cbs_350, cat_1300'), ('no boot localization', 'cbs_250, cbs_350, cat_1300')]"
boot system,"[('boot system {image-1 | image-2}', 'cbs_220'), ('boot system image-url', 'cbs_250, cbs_350, cat_1300'), ('boot system inactive-image', 'cbs_250, cbs_350, cat_1300')]"
bootfile,"[('bootfile filename', 'cbs_350, cat_1300'), ('no bootfile', 'cbs_350, cat_1300')]"
bridge multicast address,"[('bridge multicast address {mac-multicast-address | ipv4-multicast-address} [{add | remove} {ethernet interface-list | port-channel port-channel-list}]', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast address mac-multicast-address', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast filtering,"[('bridge multicast filtering', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast filtering', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast forbidden address,"[('bridge multicast forbidden address {mac-multicast-address | ipv4-multicast-address} {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast forbidden address mac-multicast-address', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast forbidden forward-all,"[('bridge multicast forbidden forward-all {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast forbidden forward-all', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast forbidden ip-address,"[('bridge multicast forbidden ip-address {ip-multicast-address} {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast forbidden ip-address ip-multicast-address', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast forbidden source group,"[('bridge multicast forbidden source ip-address group ip-multicast-address {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast forbidden source ip-address group ip-multicast-address', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast forward-all,"[('bridge multicast forward-all {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast forward-all', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast ip-address,"[('bridge multicast ip-address ip-multicast-address [add | remove] {interface-list | port-channel port-channel-list}]', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast ip-address ip-multicast-address', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast ipv6 forbidden ip-address,"[('bridge multicast ipv6 forbidden ip-address {ipv6-multicast-address} {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast ipv6 forbidden ip-address ipv6-multicast-address', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast ipv6 forbidden source group,"[('bridge multicast ipv6 forbidden source ipv6-source-address group ipv6-multicast-address {add | remove} {ethernet interface-list | port-channel port-channel-list}', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast ipv6 forbidden source ipv6-address group ipv6-multicast-address', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast ipv6 ip-address,"[('bridge multicast ipv6 ip-address ipv6-multicast-address [add | remove] {ethernet interface-list | port-channel port-channel-list}]', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast ipv6 ip-address ip-multicast-address', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast ipv6 mode,"[('bridge multicast ipv6 mode {mac-group | ip-group | ip-src-group}', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast ipv6 mode', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast ipv6 source group,"[('bridge multicast ipv6 source ipv6-source-address group ipv6-multicast-address [add | remove] {ethernet interface-list | port-channel port-channel-list}]', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast ipv6 source ipv6-address group ipv6-multicast-address', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast mode,"[('bridge multicast mode {mac-group | ipv4-group | ipv4-src-group}', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast mode', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast reserved-address,"[('bridge multicast reserved-address mac-multicast-address {discard | bridge}', 'cbs_220'), ('bridge multicast reserved-address mac-multicast-address [ethernet-v2 ethtype | llc sap | llc-snap pid] {discard | bridge}', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast reserved-address mac-multicast-address [ethernet-v2 ethtype | llc sap | llc-snap pid]', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast source group,"[('bridge multicast source ip-address group ip-multicast-address [add | remove] {ethernet interface-list | port-channel port-channel-list}]', 'cbs_250, cbs_350, cat_1300'), ('no bridge multicast source ip-address group ip-multicast-address', 'cbs_250, cbs_350, cat_1300')]"
bridge multicast unregistered,"[('bridge multicast unregistered {forwarding | filtering}', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('no bridge multicast unregistered', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300')]"
bridge unicast unknown,"[('bridge unicast unknown {filtering | forwarding}', 'cbs_250, cbs_350, cat_1300'), ('no bridge unicast unknown', 'cbs_250, cbs_350, cat_1300')]"
ca-certificate install,"[('ca-certificate install name WORD<1-160> [owner WORD<1-32>]', 'cbs_220'), ('no ca-certificate install name WORD<1-160>', 'cbs_220'), ('ca-certificate install name name [owner owner]', 'cbs_250, cbs_350, cat_1300'), ('no ca-certificate install {name name | owner owner}', 'cbs_250, cbs_350, cat_1300')]"
ca-certificate revoke,"[('ca-certificate revoke issuer issuer serial-number serial-number', 'cbs_250, cbs_350, cat_1300'), ('no ca-certificate revoke issuer issuer serial-number serial-number', 'cbs_250, cbs_350, cat_1300')]"
cbd address,"[('cbd address {ip-address | hostname} [port port]', 'cbs_250, cbs_350, cat_1300'), ('no cbd address', 'cbs_250, cbs_350, cat_1300')]"
cbd connection enable,"[('cbd connection enable', 'cbs_250, cbs_350, cat_1300'), ('no cbd connection enable', 'cbs_250, cbs_350, cat_1300')]"
cbd key,"[('cbd key id id-string secret secret-string', 'cbs_250, cbs_350, cat_1300'), ('encrypted cbd key id id-string secret encrypted-secret-string', 'cbs_250, cbs_350, cat_1300'), ('no cbd key', 'cbs_250, cbs_350, cat_1300')]"
cbd network name,"[('cbd network name network-name', 'cat_1300'), ('no cbd network name', 'cat_1300')]"
cbd organization name,"[('cbd organization name organization-name', 'cat_1300'), ('no cbd organization name', 'cat_1300')]"
cbd probe enable,"[('cbd probe enable', 'cbs_250, cbs_350, cat_1300'), ('no cbd probe enable', 'cbs_250, cbs_350, cat_1300')]"
cdp advertise-v2,"[('cdp advertise-v2', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no cdp advertise-v2', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
cdp appliance-tlv enable,"[('cdp appliance-tlv enable', 'cbs_250, cbs_350, cat_1300'), ('no cdp appliance-tlv enable', 'cbs_250, cbs_350, cat_1300')]"
cdp appliance-vlan enable,"[('cdp appliance-vlan enable', 'cbs_220'), ('no cdp appliance-vlan enable', 'cbs_220')]"
cdp device-id format,"[('cdp device-id format {mac | serial-number | hostname}', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no cdp device-id format', 'cbs_250, cbs_350, cat_1300')]"
cdp enable,"[('cdp enable', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no cdp enable', 'cbs_220')]"
cdp holdtime,"[('cdp holdtime seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no cdp holdtime', 'cbs_250, cbs_350, cat_1300')]"
cdp log mismatch duplex,"[('cdp log mismatch duplex', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no cdp log mismatch duplex', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
cdp log mismatch native,"[('cdp log mismatch native', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no cdp log mismatch native', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
cdp log mismatch voip,"[('cdp log mismatch voip', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no cdp log mismatch voip', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
cdp mandatory-tlvs validation,"[('cdp mandatory-tlvs validation', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no cdp mandatory-tlvs validation', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
cdp pdu,"[('cdp pdu {bridging | filtering | flooding}', 'cbs_220'), ('cdp pdu [filtering | bridging | flooding]', 'cbs_250, cbs_350, cat_1300'), ('no cdp pdu', 'cbs_250, cbs_350, cat_1300')]"
cdp run,"[('cdp run', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no cdp run', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
cdp source-interface,"[('cdp source-interface interface-id', 'cbs_250, cbs_350, cat_1300'), ('no cdp source-interface', 'cbs_250, cbs_350, cat_1300')]"
cdp timer,"[('cdp timer seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no cdp timer', 'cbs_250, cbs_350, cat_1300')]"
channel-group,"[('channel-group port channel mode {active | on | passive}', 'cbs_220'), ('no channel-group', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('channel-group port-channel mode {on | auto}', 'cbs_250, cbs_350, cat_1300')]"
class,"[('class class-map-name', 'cbs_220'), ('no class class-map-name', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('class class-map-name [access-group acl-name]', 'cbs_250, cbs_350, cat_1300')]"
class-map,"[('class-map class-map-name [match-any]', 'cbs_220'), ('no class-map class-map-name', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('class-map class-map-name [match-all | match-any]', 'cbs_250, cbs_350, cat_1300')]"
clear arp-cache,"[('clear arp-cache [ip-address]', 'cbs_220'), ('clear arp-cache', 'cbs_250, cbs_350, cat_1300')]"
clear counters,"[('clear counters [interfaces interface-id]', 'cbs_220'), ('clear counters [interface-id]', 'cbs_250, cbs_350, cat_1300')]"
clear gvrp statistics,"[('clear gvrp {error-statistics | statistics} [interfaces interface-id]', 'cbs_220'), ('clear gvrp statistics [interface-id]', 'cbs_250, cbs_350, cat_1300')]"
clear lldp statistics,"[('clear lldp statistics', 'cbs_220'), ('clear lldp statistics [global | interface-id]', 'cbs_250, cbs_350, cat_1300')]"
clear logging,"[('clear logging {buffered | file}', 'cbs_220'), ('clear logging', 'cbs_250, cbs_350, cat_1300')]"
clear mac address-table,"[('clear mac address-table dynamic [interfaces interface-id | vlan vlan-id]', 'cbs_220'), ('clear mac address-table dynamic interface interface-id', 'cbs_250, cbs_350, cat_1300'), ('clear mac address-table secure interface interface-id', 'cbs_250, cbs_350, cat_1300')]"
clear spanning-tree detected-protocols,"[('clear spanning-tree detected-protocols [interfaces interface-id]', 'cbs_220'), ('clear spanning-tree detected-protocols [interface interface-id]', 'cbs_250, cbs_350, cat_1300')]"
client-name,"[('client-name name', 'cbs_350, cat_1300'), ('no client-name', 'cbs_350, cat_1300')]"
clock dhcp timezone,"[('clock dhcp timezone', 'cbs_250, cbs_350, cat_1300'), ('no clock dhcp timezone', 'cbs_250, cbs_350, cat_1300')]"
clock set,"[('clock set HH:MM:SS month day year', 'cbs_220'), ('clock set hh:mm:ss {[day month] | [month day]} year', 'cbs_250, cbs_350, cat_1300')]"
clock source,"[('clock source {sntp | local}', 'cbs_220'), ('clock source {sntp | browser}', 'cbs_250, cbs_350, cat_1300'), ('no clock source {sntp | browser}', 'cbs_250, cbs_350, cat_1300')]"
clock summer-time,"[('clock summer-time zone recurring {usa | eu | {week date month HH:MM week month date HH:MM} [offset]', 'cbs_220'), ('clock summer-time zone date month day year HH:MM month day year HH:MM [offset]', 'cbs_220'), ('no clock summer-time', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('clock summer-time zone recurring {usa | eu | {week day month hh:mm week day month hh:mm} [offset]', 'cbs_250, cbs_350, cat_1300'), ('clock summer-time zone date day month year hh:mm date month year hh:mm [offset]', 'cbs_250, cbs_350, cat_1300'), ('clock summer-time zone date month day year hh:mm month day year hh:mm [offset]', 'cbs_250, cbs_350, cat_1300')]"
clock timezone,"[('clock timezone zone HOUR-OFFSET [minutes]', 'cbs_220'), ('no clock timezone', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('clock timezone zone hours-offset [minutes-offset]', 'cbs_250, cbs_350, cat_1300')]"
copy,"[('copy', 'cbs_220'), ('copy src-url dst-url', 'cbs_250, cbs_350, cat_1300'), ('*copy {running-config | startup-config} dst-url', 'cbs_250, cbs_350, cat_1300'), ('copy {running-config | startup-config} dst-url [exclude | include-encrypted | include-plaintext]', 'cbs_250, cbs_350, cat_1300'), ('copy src-url running-config', 'cbs_250, cbs_350, cat_1300'), ('copy running-config startup-config', 'cbs_250, cbs_350, cat_1300'), ('copy tech-support cbd usb:/<file-path>', 'cbs_250, cbs_350, cat_1300')]"
crypto certificate generate,"[('crypto certificate generate', 'cbs_220'), ('crypto certificate number generate [key-generate [length] [cn common- name] [ou organization-unit] [or organization] [loc location] [st state] [cu country] [duration days]', 'cbs_250, cbs_350, cat_1300')]"
crypto certificate import,"[('crypto certificate number import', 'cbs_250, cbs_350, cat_1300'), ('encrypted crypto certificate number import', 'cbs_250, cbs_350, cat_1300'), ('no crypto certificate number', 'cbs_250, cbs_350, cat_1300')]"
crypto key import,"[('crypto key import {dsa| rsa}', 'cbs_250, cbs_350, cat_1300'), ('encrypted crypto key import {dsa| rsa}', 'cbs_250, cbs_350, cat_1300'), ('no crypto key {dsa| rsa}', 'cbs_250, cbs_350, cat_1300')]"
default-information originate,"[('default-information originate', 'cbs_350, cat_1300'), ('no default-information originate', 'cbs_350, cat_1300')]"
default-metric,"[('default-metric [metric-value]', 'cbs_350, cat_1300'), ('no default-metric', 'cbs_350, cat_1300')]"
default-router,"[('default-router ip-address [ip-address2 . ip-address8]', 'cbs_350, cat_1300'), ('no default-router', 'cbs_350, cat_1300')]"
delete,"[('delete url', 'cbs_250, cbs_350, cat_1300'), ('delete startup-config', 'cbs_250, cbs_350, cat_1300')]"
deny ( IP ),"[('deny protocol {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [disable-port|log-input ]', 'cbs_250, cbs_350, cat_1300'), ('deny icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code][ace-priority priority] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'cbs_250, cbs_350, cat_1300'), ('deny igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type][ace-priority priority] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'cbs_250, cbs_350, cat_1300'), ('deny tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number][match-all list-of-flags][time-range time-range-name] [disable-port |log-input ]', 'cbs_250, cbs_350, cat_1300'), ('deny udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'cbs_250, cbs_350, cat_1300'), ('no deny protocol {any | source source-wildcard} {any | destination destination-wildcard} [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'cbs_250, cbs_350, cat_1300'), ('no deny icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'cbs_250, cbs_350, cat_1300'), ('no deny igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type] [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'cbs_250, cbs_350, cat_1300'), ('no deny tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number][match-all list-of-flags] [time-range time-range-name] [disable-port |log-input ]', 'cbs_250, cbs_350, cat_1300'), ('no deny udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number][time-range time-range-name] [disable-port |log-input ]', 'cbs_250, cbs_350, cat_1300')]"
deny ( IPv6 ),"[('deny protocol {any | {source-prefix/length}{any | destination-prefix/length} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('deny icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('deny tcp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [ace-priority priority][dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('deny udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('no deny protocol {any | {source-prefix/length}{any | destination-prefix/length} [dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('no deny icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('no deny tcp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('no deny udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [dscp number | precedence number] [time-range time-range-name] [disable-port |log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300')]"
deny (IP),"[('[sequence value] deny protocol {any | source source-wildcard } {any | destination destination-wildcard} [dscp number | precedence number] [disable-port]', 'cbs_220'), ('[sequence value] deny icmp {any | source source-wildcard} {any | destination destination-wildcard } [any | icmp-type] [any | icmp-code] [dscp number | precedence number] [disable-port]', 'cbs_220'), ('[sequence value] deny tcp {any | {source source-wildcard} {any | source-port/port-range } }{any | destination destination-wildcard} {any | destination-port/port-range} [dscp number | precedence number ] [match-all list-of-flags] [disable-port]', 'cbs_220'), ('[sequence value] deny udp {any | source source-wildcard} {any | source-port/port-range} {any | destination destination-wildcard} {any | destination-port/port-range} [dscp number | precedence number] [disable-port]', 'cbs_220'), ('no sequence value', 'cbs_220')]"
deny (IPv6),"[('[sequence value] deny protocol {any | source-prefix/length} {any | destination- prefix/length} [dscp number | precedence number] [disable-port]', 'cbs_220'), ('[sequence value] deny icmp {any | source-prefix {any | source-prefix/length } {any | destination- prefix/length} {any | icmp-type} {any | icmp-code} [dscp number | precedence number] [disable-port]', 'cbs_220'), ('[sequence value] deny tcp {any | source-prefix/length} {any | source-port/port-range} {any | destination- prefix/length} {any| destination-port/port-range} [dscp number | precedence number] [match-all list-of-flags] [disable-port]', 'cbs_220'), ('[sequence value] deny udp {any | source-prefix/length} {any | source-port/port-range} {any | destination- prefix/length} {any | destination-port/port-range} [dscp number | precedence number] [match-all list-of-flags] [disable-port]', 'cbs_220'), ('no sequence value', 'cbs_220')]"
deny (MAC),"[('deny {any | source source-wildcard} {any | destination destination-wildcard} [vlan vlan-id] [cos cos cos-wildcard] [ethtype value] [disable-port]', 'cbs_220'), ('no sequence value', 'cbs_220'), ('deny {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority][{eth-type 0}| aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name] [disable-port |log-input ]', 'cbs_250, cbs_350, cat_1300'), ('no deny {any | source source-wildcard} {any | destination destination-wildcard} [{eth-type 0}| aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name] [disable-port |log-input ]', 'cbs_250, cbs_350, cat_1300'), ('Parameters', 'cbs_250, cbs_350, cat_1300'), ('source—Source MAC address of the packet.', 'cbs_250, cbs_350, cat_1300'), ('source-wildcard—Wildcard bits to be applied to the source MAC address. Use ones in the bit position that you want to be ignored.', 'cbs_250, cbs_350, cat_1300'), ('destination—Destination MAC address of the packet.', 'cbs_250, cbs_350, cat_1300'), ('destination-wildcard—Wildcard bits to be applied to the destination MAC address. Use 1s in the bit position that you want to be ignored.', 'cbs_250, cbs_350, cat_1300'), ('priority - Specify the priority of the access control entry (ACE) in the access control list (ACL). ""1"" value represents the highest priority and ""2147483647"" number represents the lowest priority.(Range: 1-2147483647)', 'cbs_250, cbs_350, cat_1300'), ('eth-type—The Ethernet type in hexadecimal format of the packet.', 'cbs_250, cbs_350, cat_1300'), ('vlan-id—The VLAN ID of the packet. (Range: 1–4094).', 'cbs_250, cbs_350, cat_1300'), ('cos—The Class of Service of the packet.(Range: 0–7).', 'cbs_250, cbs_350, cat_1300'), ('cos-wildcard—Wildcard bits to be applied to the CoS.', 'cbs_250, cbs_350, cat_1300'), ('time-range-name—Name of the time range that applies to this permit statement. (Range: 1–32)', 'cbs_250, cbs_350, cat_1300'), ('disable-port—The Ethernet interface is disabled if the condition is matched.', 'cbs_250, cbs_350, cat_1300'), ('log-input—Specifies sending an informational syslog message about the packet that matches the entry. Because forwarding/dropping is done in hardware and logging is done in software, if a large number of packets match an ACE containing a log-input keyword, the software might not be able to match the hardware processing rate, and not all packets will be logged.', 'cbs_250, cbs_350, cat_1300')]"
